0,0
0,0
0,0
-32.3385963,-53.4770359
-32.3385963,-53.4770359
0,0
-22.8611732,-43.4524950
-32.3385963,-53.4770359
-32.3385963,-53.4770359
0,0
-32.3385963,-53.4770359
0,0
-32.3385963,-53.4770359
-32.3385963,-53.4770359
-32.3385963,-53.4770359
-28.6583059,-56.0041451
-32.3385963,-53.4770359
-32.3385963,-53.4770359
-29.1294007,-56.5481122
-32.3385963,-53.4770359
-31.7781937,-52.3370759
0,0
0,0
-32.3385963,-53.4770359
-32.3385963,-53.4770359
-32.3385963,-53.4770359
-32.3385963,-53.4770359
0,0
-32.3385963,-53.4770359
-32.3385963,-53.4770359
0,0
-32.3385963,-53.4770359
0,0
-32.3385963,-53.4770359
0,0
-32.3385963,-53.4770359
-28.6583059,-56.0041451
0,0
-32.3385963,-53.4770359
-32.3385963,-53.4770359
-32.3385963,-53.4770359
-32.3385963,-53.4770359
-32.3385963,-53.4770359
0,0
0,0
0,0
-32.3385963,-53.4770359
0,0
0,0
-31.7736409,-52.3372589
-32.3385963,-53.4770359
-32.3385963,-53.4770359
0,0
-32.3385963,-53.4770359
-32.3385963,-53.4770359
-32.3385963,-53.4770359
0,0
-32.3385963,-53.4770359
-31.3040566,-54.0697785
0,0
-28.6583059,-56.0041451
0,0
-32.3385963,-53.4770359
0,0
0,0
0,0
0,0
-32.3385963,-53.4770359
0,0
0,0
-32.3385963,-53.4770359
-32.3385963,-53.4770359
